,1969/70,1970/71,1971/72,1972/73,1973/74,1974/75,1975/76,1976/77,1977/78,1978/79,1979/80,1980/81,1983/84,1984/85,1985/86,1986/87,1987/88,1981/82,1982/83,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1988/89,1998/99,1999/00,2008/09,2017/18,2000/01,2001/02,2002/03,2003/04,2004/05,2009/10,2010/11,2011/12,2005/06,2006/07,2007/08,2012/13,2013/14,2014/15,2015/16,2016/17,2018/19,2019/20
22147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,111.0,125.0,61.0,123.0,63.0,54.0,60.0,38.0,52.0,68.0,41.0,52.0,0.0,0.0,0.0,80.0,80.0,100.0,70.0,88.0,60.0,83.0,41.0,62.0,52.0,54.0,44.0,53.0,55.0,53.0,28.0,50.0,59.0,50.0,35.0,110.0,82.0,96.0,93.0,50.0,48.0,0.0
22161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,44.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,51.0,44.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,129.0,75.0,17.0,57.0,37.0,62.0,47.0,62.0,0.0,0.0,60.0,21.0,75.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,66.0,56.0,49.0,48.0,58.0,66.0,52.0,66.0,74.0,66.0,44.0,66.0,97.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,33.0,33.0,29.0,28.0,0.0,46.0,0.0,46.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,60.0,53.0,47.0,205.0,173.0,181.0,108.0,71.0,25.0,78.0,58.0,53.0,47.0,0.0,0.0,55.0,58.0,60.0,13.0,73.0,61.0,33.0,28.0,70.0,68.0,60.0,58.0,0.0,43.0,0.0,32.0,20.0,28.0,58.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
18154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,61.0,61.0,44.0,49.0,63.0,71.0,50.0,54.0,62.0,54.0,41.0,124.0,96.0,0.0,107.0,43.0,57.0,28.0,50.0,60.0,59.0,65.0,66.0,22.0,19.0,22.0,25.0,0.0,96.0,0.0,43.0,32.0,50.0,71.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0
34007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,53.0,52.0,50.0,57.0,64.0,57.0,63.0,55.0,60.0,59.0,56.0,18.0,62.0,62.0,42.0,29.0,39.0,58.0,0.0
46084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,68.0,127.0,118.0,83.0,79.0,62.0,46.0,63.0,69.0,50.0,60.0,0.0,56.0,50.0,53.0,62.0,50.0,53.0,53.0,50.0,50.0,50.0,50.0,66.0,66.0,50.0,66.0,66.0,55.0,50.0,60.0,64.0,61.0,18.0,65.0,62.0,55.0,62.0,55.0,58.0,0.0
82077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,83.0,107.0,81.0,72.0,53.0,54.0,46.0,50.0,40.0,40.0,54.0,0.0,54.0,51.0,50.0,84.0,65.0,63.0,74.0,67.0,70.0,52.0,53.0,41.0,49.0,48.0,71.0,69.0,48.0,70.0,57.0,0.0,60.0,34.0,15.0,47.0,89.0,72.0,100.0,64.0,32.0,50.0,0.0
86014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,71.0,71.0,68.0,61.0,70.0,70.0,68.0,94.0,42.0,89.0,89.0,50.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,45.0,125.0,120.0,100.0,41.0,83.0,59.0,45.0,28.0,79.0,66.0,76.0,60.0,46.0,50.0,0.0
86028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,58.0,59.0,64.0,57.0,64.0,63.0,0.0,0.0,55.0,80.0,79.0,48.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,108.0,68.0,45.0,60.0,0.0
86042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,93.0,87.0,103.0,63.0,53.0,52.0,48.0,61.0,59.0,62.0,71.0,31.0,46.0,0.0,70.0,96.0,52.0,53.0,55.0,50.0,51.0,57.0,0.0,0.0,0.0,76.0,107.0,68.0,98.0,75.0,40.0,17.0,52.0,63.0,50.0,40.0,87.0,72.0,81.0,60.0,38.0,50.0,0.0
86056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,62.0,62.0,68.0,61.0,70.0,70.0,63.0,90.0,41.0,89.0,89.0,35.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,43.0,95.0,102.0,72.0,0.0,90.0,66.0,42.0,28.0,112.0,92.0,68.0,68.0,44.0,52.0,0.0
86070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,65.0,65.0,83.0,76.0,88.0,88.0,0.0,0.0,53.0,62.0,60.0,32.0,46.0,0.0,0.0,0.0,144.0,120.0,93.0,115.0,83.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,64.0,66.0,50.0,50.0,0.0
86077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,70.0,51.0,70.0,66.0,61.0,60.0,57.0,72.0,47.0,73.0,80.0,33.0,55.0,0.0,65.0,96.0,53.0,50.0,57.0,48.0,57.0,50.0,0.0,0.0,0.0,75.0,103.0,72.0,118.0,72.0,40.0,18.0,56.0,63.0,50.0,43.0,85.0,72.0,78.0,59.0,42.0,50.0,0.0
86084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,72.0,72.0,66.0,55.0,65.0,65.0,70.0,98.0,43.0,96.0,100.0,42.0,71.0,0.0,69.0,90.0,60.0,62.0,31.0,71.0,69.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,88.0,73.0,0.0,15.0,100.0,78.0,78.0,77.0,54.0,54.0,0.0
86091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,66.0,66.0,85.0,75.0,89.0,90.0,59.0,89.0,46.0,70.0,77.0,34.0,55.0,0.0,0.0,0.0,135.0,122.0,68.0,117.0,117.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,57.0,63.0,52.0,35.0,82.0,70.0,72.0,74.0,50.0,53.0,0.0
86098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,58.0,58.0,52.0,54.0,68.0,65.0,66.0,91.0,40.0,95.0,106.0,47.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,125.0,67.0,89.0,67.0,50.0,19.0,59.0,74.0,51.0,48.0,103.0,83.0,75.0,58.0,42.0,52.0,0.0
86105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,72.0,72.0,90.0,76.0,88.0,88.0,0.0,0.0,53.0,65.0,66.0,28.0,46.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,55.0,54.0,21.0,64.0,59.0,62.0,68.0,59.0,54.0,0.0
86112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,71.0,71.0,65.0,55.0,65.0,65.0,68.0,114.0,42.0,96.0,111.0,36.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,81.0,63.0,27.0,47.0,0.0
86119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,54.0,53.0,55.0,55.0,70.0,70.0,63.0,94.0,42.0,90.0,125.0,35.0,71.0,0.0,79.0,75.0,44.0,44.0,65.0,53.0,79.0,51.0,0.0,0.0,0.0,62.0,50.0,47.0,141.0,97.0,83.0,23.0,80.0,71.0,50.0,45.0,83.0,64.0,76.0,59.0,47.0,56.0,0.0
86133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,57.0,57.0,75.0,76.0,81.0,81.0,59.0,66.0,45.0,71.0,80.0,38.0,55.0,0.0,80.0,92.0,63.0,47.0,27.0,61.0,56.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,61.0,59.0,45.0,35.0,81.0,72.0,76.0,74.0,50.0,51.0,0.0
